,Leaks
0,['Merge pull request #647 from skalenetwork/enhancement/SKALE-2510-adopt-private-keys\n\nEnhancement/skale 2510 adopt private keys']
1,"[""Merge branch 'enhancement/SKALE-2510-adopt-private-keys' of https://github.com/skalenetwork/skale-manager into enhancement/SKALE-2510-adopt-private-keys\n""]"
2,['Rename environment private keys\n']
3,['SKALE-2958 Fix docker credentials\n']
4,['SKALE-2958 Add keys check\n']
5,['Merge pull request #445 from skalenetwork/enhancement/SKALE-3504-hash-key\n\nSKALE-3504 add hash on X coordinate']
6,"[""Merge branch 'develop' into enhancement/SKALE-3504-hash-key""]"
7,['Modify KeyStorage and remove ECDH from contracts\n']
8,"['SKALE-3319 Minor changes in naming, remove LOCAL_PRIVATE_KEY and LOCAL_ENDPOINT\n']"
9,['Add elliptic to test for publi keys\n']
10,['Add public key to address function\n']
11,['Merge pull request #367 from skalenetwork/enhancement/Remove-node-bls-public-keys\n\nEnhancement/remove node bls public keys']
12,['Remove computation od node bls public key\n']
13,['Fix typo in keyStorage.ts\n']
14,['Merge pull request #296 from skalenetwork/bugfix/DKG-BLS-public-key-and-node-rotation\n\nBugfix/SKALE 2847 dkg bls public key and node rotation']
15,"[""Merge branch 'develop' into bugfix/DKG-BLS-public-key-and-node-rotation""]"
16,['SKALE-2847 fix calculate public key\n']
17,['init fix for BLS public key\n']
18,['Merge pull request #277 from skalenetwork/feature/SKALE-2812-admin-key\n\nSKALE-2812 Update permissions']
19,"[""Merge branch 'develop' into feature/SKALE-2812-admin-key""]"
20,['Merge pull request #272 from skalenetwork/bug/SKALE-2810-bls-public-keys\n\nSKALE-2810 compute public keys']
21,"[""Merge branch 'develop' into bug/SKALE-2810-bls-public-keys\n""]"
22,"[""Merge branch 'develop' into bug/SKALE-2810-bls-public-keys""]"
23,['Fixed failing tests added SKALE-2737 test added getBLSPublicKey test\n']
24,['Added KeyStorage contract\n']
25,"[""Merge branch 'develop' into bug/SKALE-2810-bls-public-keys""]"
26,['SKALE-2810 compute public keys\n']
27,['SKALE-2625 Rename secretKeyContribution argument\n']
28,"['SKALE-2364 Uncomment functions verifySignature, getPreviousGroupsPublicKey\n']"
29,['SKALE-2625 Change node public key format\n']
30,['SKALE-2625 Add KeyShare structure\n']
31,['Merge pull request #91 from skalenetwork/enhancement/SKALE-2214-added-past-public-keys\n\nAdded past public keys']
32,['Add getPreviousGroupsPublicKey\n']
33,"[""Merge branch 'develop' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys\n""]"
34,"[""Merge branch 'develop' into enhancement/SKALE-2214-added-past-public-keys""]"
35,"[""Merge branch 'develop' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys\n""]"
36,"[""Merge branch 'develop' into enhancement/SKALE-2214-added-past-public-keys""]"
37,"[""Merge branch 'enahncement/SKALE-2228-added-block-to-schain' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys\n""]"
38,"[""Merge branch 'develop' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys\n""]"
39,['Added past public keys\n']
40,['SKALE-2060 added private keys to virtual environment\n']
41,['SKALE-1973 Fix issue with private keys on testing\n']
42,"['SKALE-1806 DKG related fixes, key parts order\n']"
43,['Finally fixed order of public keys\n']
44,['Fixed order of public key\n']
45,['Remove private keys from travis yml\n']
46,['SKALE-1213 added verify function based on schains publickey\n']
47,['Added KeyExpansion\n']
